job_id,file_path,file_name,hypothesis_vuln_type,hypothesis_target_function,hypothesis_explanation,tool_call_json,vulnerability_type,target_function,is_vulnerable,evidence,input_hex,code_line,time,validation_status,remark
c9e2a743c7644c7c8ed2b28da5daf9a2,C:\Users\marko\PycharmProjects\context\testset\jtr.c,jtr.c,stack_overflow,main,strcpy(buffer argv[1]) unbounded,"{""target_path"": ""C:\\Users\\marko\\PycharmProjects\\context\\testset\\jtr.c"", ""target_function"": ""main"", ""function_args"": [{""type"": ""concrete"", ""value"": 2}, {""type"": ""pointer"", ""size"": 256}], ""vulnerability_type"": ""stack_overflow""}",stack_overflow,main,false,Solver error - input size too large,n/a,16,0,error,Input size may be too large for mapped stack
84a483787e634028adb600540b519d11,C:\Users\marko\PycharmProjects\context\testset\kls.c,kls.c,stack_overflow,main,getenv overflow,"{""target_path"": ""C:\\Users\\marko\\PycharmProjects\\context\\testset\\kls.c"", ""target_function"": ""main"", ""function_args"": [{""type"": ""concrete"", ""value"": 2}, {""type"": ""pointer"", ""size"": 256}], ""vulnerability_type"": ""stack_overflow""}",stack_overflow,main,false,Solver error - input size too large,n/a,20,0,error,Input size may be too large for mapped stack
fb0c6e69a2224d748e1c55d0440bd49d,C:\Users\marko\PycharmProjects\context\testset\nqa.c,nqa.c,stack_overflow,getpath,gets() buffer overflow,"{""target_path"": ""C:\\Users\\marko\\PycharmProjects\\context\\testset\\nqa.c"", ""target_function"": ""getpath"", ""function_args"": [], ""vulnerability_type"": ""stack_overflow""}",stack_overflow,getpath,true,Stack overflow confirmed via gets(),01000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000b6b448f06ab011160000000000000000000000000000000000000000000000000000000000000000,13,1.87,vuln_found,RIP register control via gets() overflow
8369692786274274a720999a6b253057,C:\Users\marko\PycharmProjects\context\testset\tso.c,tso.c,stack_overflow,getpath,gets() buffer overflow,"{""target_path"": ""C:\\Users\\marko\\PycharmProjects\\context\\testset\\tso.c"", ""target_function"": ""getpath"", ""function_args"": [], ""vulnerability_type"": ""stack_overflow""}",stack_overflow,getpath,true,Stack overflow confirmed via gets(),00000808120040012000080000012000200012200804000120044010200010420800010400040104010100002000080100080840044001000000000000000021000000000000000000000000000000000000000000000000221a4602ac0590540000000000000000000000000000000000000000000000000000000000000000,13,2.78,vuln_found,RIP register control via gets() overflow
b09522740ee7449c8f082dac864c8a46,C:\Users\marko\PycharmProjects\context\testset\fyg.c,fyg.c,stack_overflow,main,gets() with function pointer on stack,"{""target_path"": ""C:\\Users\\marko\\PycharmProjects\\context\\testset\\fyg.c"", ""target_function"": ""main"", ""function_args"": [{""type"": ""concrete"", ""value"": 2}, {""type"": ""pointer"", ""size"": 256}], ""vulnerability_type"": ""stack_overflow""}",stack_overflow,main,true,Stack overflow with RIP control via gets(),00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000da91cc8c400010830000000000000000000000000000000000000000000000000000000000000000,18,1.15,vuln_found,Function pointer overflow
d629956c239b4afd8db27568f0c1835d,C:\Users\marko\PycharmProjects\context\testset\wuj.c,wuj.c,stack_overflow,main,gets() buffer overflow,"{""target_path"": ""C:\\Users\\marko\\PycharmProjects\\context\\testset\\wuj.c"", ""target_function"": ""main"", ""function_args"": [{""type"": ""concrete"", ""value"": 2}, {""type"": ""pointer"", ""size"": 256}], ""vulnerability_type"": ""stack_overflow""}",stack_overflow,main,true,Stack overflow via gets(),0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001e198d581b321268000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,15,1.15,vuln_found,RIP control
d83c6efad40c4ae9a926fc42e82fabf4,C:\Users\marko\PycharmProjects\context\testset\hbm.c,hbm.c,stack_overflow,main,gets() buffer overflow,"{""target_path"": ""C:\\Users\\marko\\PycharmProjects\\context\\testset\\hbm.c"", ""target_function"": ""main"", ""function_args"": [{""type"": ""concrete"", ""value"": 2}, {""type"": ""pointer"", ""size"": 256}], ""vulnerability_type"": ""stack_overflow""}",stack_overflow,main,true,Stack overflow via gets(),000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000748d153c40ca56b3000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,10,1.13,vuln_found,RIP control
65d37ed7b1eb4dd8adbcb9f91b090dbc,C:\Users\marko\PycharmProjects\context\testset\plw.c,plw.c,heap_overflow,main,strcpy heap overflow,"{""target_path"": ""..\\plw.c"", ""target_function"": ""main""}",heap_overflow,main,false,Error in solver,n/a,36,0,error,argv index issue
52387f5da45a4764b9e7e8d5b0939203,C:\Users\marko\PycharmProjects\context\testset\ebk.c,ebk.c,heap_overflow,main,strcpy heap overflow,"{""target_path"": ""..\\ebk.c"", ""target_function"": ""main""}",heap_overflow,main,false,Error in solver,n/a,29,0,error,argv index issue
b8583de7a1da4b6d822a2f60042633b1,C:\Users\marko\PycharmProjects\context\testset\idn.c,idn.c,use_after_free,main,free without null check,"{""target_path"": ""..\\idn.c"", ""target_function"": ""main""}",use_after_free,main,true,Canary symbolic - heap overflow detected,0804800101010102800101200401408002100102100402020101010120010101010101040104020201040101800101018001020101010101010101010108101002010101808004808004010101010101800101010101010101010101010208800202800108100101800180010801012000000000000000000000000000002010,38,21.9,vuln_found,Use-after-free via auth pointer
e3897d504cd74dd180b46fbe901aa617,C:\Users\marko\PycharmProjects\context\testset\ovm.c,ovm.c,heap_overflow,main,strcpy heap overflow,"{""target_path"": ""..\\ovm.c"", ""target_function"": ""main""}",heap_overflow,main,false,Error in solver,n/a,20,0,error,argv index issue
f25acafd0b9d4f34bcc36b0f9ed3927a,C:\Users\marko\PycharmProjects\context\testset\swp.c,swp.c,format_string,vuln,sprintf format string,"{""target_path"": ""..\\swp.c"", ""target_function"": ""vuln""}",format_string,vuln,true,Symbolic format string detected,00,13,0.34,vuln_found,Controllable format string
ad5213693abf4780978f988c332d5c2b,C:\Users\marko\PycharmProjects\context\testset\dzb.c,dzb.c,format_string,vuln,printf format string,"{""target_path"": ""..\\dzb.c"", ""target_function"": ""vuln""}",format_string,vuln,true,Symbolic format string detected,00,10,0.31,vuln_found,Controllable format string
eb13ba42eeb843408b01446c19f9cf0d,C:\Users\marko\PycharmProjects\context\testset\hkv.c,hkv.c,format_string,vuln,printf format string,"{""target_path"": ""..\\hkv.c"", ""target_function"": ""vuln""}",format_string,vuln,true,Symbolic format string detected,f5f5f5f5f5f5f5f5f5e5f5f5f5f5f5f5f5f5f5f5f5f5f5f5f5f5f5f5f5f5f5f5f5f5f5f5f5f5f5f5f5f5f5f5f5f5f5f5f5f5f5f5f5f5f5f5f5f5f5f5f5f5f5f5f5f5f5f5f5f5f5f5f5f5f5f5f5f5f5f5f5f5f5f5f5f5f5f5f5f5f5f5f5f5f5f5f5f5f5f5f5f5f5f5f5f5f5f5f5f5f5f5f5f5f5f5f5f5f5f5f5f5f5f5f5f5f500,20,0.69,vuln_found,Controllable format string
7010244c44da46cabd7fecfd64828695,C:\Users\marko\PycharmProjects\context\testset\tqm.c,tqm.c,heap_overflow,write_buffer,scanf unbounded,"{""target_path"": ""..\\tqm.c"", ""target_function"": ""write_buffer""}",heap_overflow,write_buffer,true,Canary symbolic - heap overflow,0000000000,49,1.16,vuln_found,Heap overflow via scanf
b74b5d3c29c54b448b97783b41034ecc,C:\Users\marko\PycharmProjects\context\testset\qxz.c,qxz.c,stack_overflow,main,gets() buffer overflow,"{""target_path"": ""..\\qxz.c"", ""target_function"": ""main""}",stack_overflow,main,true,Symbolic RIP detected via gets(),00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e95844d2543d9a1a0000000000000000000000000000000000000000000000000000000000000000,11,1.21,vuln_found,RIP control
