file_name,GT_Is_Vulnerable,GT_Vuln_Type,GT_Target_Func,LLM_Hypo_Vuln,LLM_Hypo_Target,LLM_Hypo_Correct,Solver_Called,FW_Status,FW_Is_Vulnerable,FW_Vuln_Type,Eval_Args_Count,Result_Category
qxz.c,True,stack_overflow,main,stack_overflow,main,True,True,vuln_found,True,stack_overflow,0,TRUE_POSITIVE
mvo.c,False,safe,main,none,none,True,False,no_solver_call,False,none,0,TRUE_NEGATIVE_LLM
jtr.c,True,stack_overflow,main,stack_overflow,main,True,True,error,False,stack_overflow,2,FALSE_NEGATIVE_SOLVER
bwp.c,False,safe,main,none,none,True,False,no_solver_call,False,none,0,TRUE_NEGATIVE_LLM
kls.c,True,stack_overflow,main,stack_overflow,main,True,True,error,False,stack_overflow,2,FALSE_NEGATIVE_SOLVER
dnh.c,False,safe,main,none,none,True,False,no_solver_call,False,none,0,TRUE_NEGATIVE_LLM
fyg.c,True,stack_overflow,main,stack_overflow,main,True,True,vuln_found,True,stack_overflow,2,TRUE_POSITIVE
rpe.c,False,safe,main,none,none,True,False,no_solver_call,False,none,0,TRUE_NEGATIVE_LLM
wuj.c,True,stack_overflow,main,stack_overflow,main,True,True,vuln_found,True,stack_overflow,2,TRUE_POSITIVE
zic.c,False,safe,main,none,none,True,False,no_solver_call,False,none,0,TRUE_NEGATIVE_LLM
hbm.c,True,stack_overflow,main,stack_overflow,main,True,True,vuln_found,True,stack_overflow,2,TRUE_POSITIVE
vkd.c,False,safe,main,none,none,True,False,no_solver_call,False,none,0,TRUE_NEGATIVE_LLM
nqa.c,True,stack_overflow,getpath,stack_overflow,getpath,True,True,vuln_found,True,stack_overflow,0,TRUE_POSITIVE
xfl.c,False,safe,getpath,none,none,True,False,no_solver_call,False,none,0,TRUE_NEGATIVE_LLM
tso.c,True,stack_overflow,nan,stack_overflow,getpath,True,True,vuln_found,True,stack_overflow,0,TRUE_POSITIVE
gry.c,False,safe,nan,none,none,True,False,no_solver_call,False,none,0,TRUE_NEGATIVE_LLM
plw.c,True,heap_overflow,nan,heap_overflow,main,True,True,error,False,heap_overflow,0,FALSE_NEGATIVE_SOLVER
cmz.c,False,safe,nan,none,none,True,False,no_solver_call,False,none,0,TRUE_NEGATIVE_LLM
ebk.c,True,heap_overflow,nan,heap_overflow,main,True,True,error,False,heap_overflow,0,FALSE_NEGATIVE_SOLVER
uhj.c,False,safe,nan,none,none,True,False,no_solver_call,False,none,0,TRUE_NEGATIVE_LLM
idn.c,True,use_after_free,nan,use_after_free,main,True,True,vuln_found,True,use_after_free,0,TRUE_POSITIVE
arf.c,False,safe,nan,none,none,True,False,no_solver_call,False,none,0,TRUE_NEGATIVE_LLM
