job_id,file_path,file_name,hypothesis_vuln_type,hypothesis_target_function,hypothesis_explanation,tool_call_json,vulnerability_type,target_function,is_vulnerable,evidence,input_hex,code_line,time,validation_status,remark
bf22f75a87074f59ad8cb1994f40296f,C:\Users\marko\PycharmProjects\context\testset\ahm.c,ahm.c,heap_overflow,alloc_object,scanf format built as %<size-1>s; when size=1 width becomes %0s which glibc treats as unbounded causing overflow of malloc(size) 1-byte buffer,"{""target_function"": ""alloc_object"", ""vulnerability_type"": ""heap_overflow"", ""function_args"": [], ""structs"": []}",heap_overflow,alloc_object,true,Canary at 0x300012f symbolic; Heap Overflow confirmed in alloc_object,stdin all-zero len128; scanf_4B_24=00000002; scanf_4B_41=zero4; scanf_8B_58=zero8,63-64,1.41,vuln_found,
6824aa465ede451687ad0c35705608dc,C:\Users\marko\PycharmProjects\context\testset\arf.c,arf.c,use_after_free,main,reset frees auth struct; strdup for service can reuse the freed chunk; a later auth allocation can alias service's live pointer to the same memory letting attacker data forge auth->auth,"{""target_function"": ""main"", ""vulnerability_type"": ""use_after_free"", ""function_args"": [{""type"": ""variable"", ""name"": ""argc"", ""size"": 4}, {""type"": ""pointer"", ""name"": ""argv"", ""size"": 256}], ""structs"": [{""name"": ""auth"", ""location"": ""heap"", ""size"": 36, ""fields"": [{""name"": ""name"", ""size"": 32, ""is_input"": true}, {""name"": ""auth"", ""size"": 4, ""is_critical"": true}]}]}",use_after_free,main,true,Canary at 0x3000028 symbolic; Use After Free confirmed in main,stdin=8001010104040102...2008 (len~256); arg1=zero256,24-36,24.69,vuln_found,
127fd50b39ed4396bcf7041f7d8bded3,C:\Users\marko\PycharmProjects\context\testset\dzb.c,dzb.c,format_string,vuln,printf(string) passes attacker-controlled argv[1] directly as format string enabling info leak and %n write,"{""target_function"": ""vuln"", ""vulnerability_type"": ""format_string"", ""function_args"": [{""type"": ""pointer"", ""name"": ""string"", ""size"": 64}], ""structs"": []}",format_string,vuln,true,Content of format string symbolic user-controlled; allows info leak (%x/%s) and targeted write (%n); Format String confirmed in vuln,arg0=zero64; stdin=zero128,10,0.52,vuln_found,
4ac4a6f754c64b8ba0bab784895ff36c,C:\Users\marko\PycharmProjects\context\testset\ebk.c,ebk.c,heap_overflow,main,"unbounded strcpy(i1->name,argv[1]) and strcpy(i2->name,argv[2]) into 8-byte heap buffers can overflow adjacent struct internet i2","{""target_function"": ""main"", ""vulnerability_type"": ""heap_overflow"", ""function_args"": [{""type"": ""variable"", ""name"": ""argc"", ""size"": 4}, {""type"": ""pointer"", ""name"": ""argv"", ""size"": 256}], ""structs"": [{""name"": ""i2"", ""location"": ""heap"", ""size"": 16, ""fields"": [{""name"": ""priority"", ""size"": 4}, {""name"": ""name"", ""size"": 8, ""is_critical"": true}]}]}",none,main,false,"Solver error: Incorrect index 1, index must be between 0 and 0; message suggests input size too large for mapped stack or buffer definition mismatch",n/a,29-30,0,error,"Solver error in heap_overflow analysis, not a confirmed negative result"
d860a76f5b9b47df9cf750f534e341d0,C:\Users\marko\PycharmProjects\context\testset\ejk.c,ejk.c,heap_overflow,write_buffer,"scanf(%s,input_data) is completely unbounded into a 5-byte malloc buffer, can overflow adjacent x heap chunk used as function pointer","{""target_function"": ""write_buffer"", ""vulnerability_type"": ""heap_overflow"", ""function_args"": [], ""structs"": []}",heap_overflow,write_buffer,true,Canary at 0x3000009 symbolic; Heap Overflow confirmed in write_buffer,stdin=zero128; scanf_4B_27=00000002; scanf_512B_46=zero512,42,1.05,vuln_found,
892ba82fa52c4ec79b78313ddb1884fa,C:\Users\marko\PycharmProjects\context\testset\elk.c,elk.c,stack_overflow,main,"read(0,buf,128) reads up to 128 bytes into a 32-byte stack buffer buf regardless of buf's actual size","{""target_function"": ""main"", ""vulnerability_type"": ""stack_overflow"", ""function_args"": [], ""structs"": []}",stack_overflow,main,true,Unconstrained state with symbolic RIP detected; Stack Overflow confirmed in main,0101010101010101010101010101010101010101010101010101010100000000000000000000000090346273488509ca00...(zero padded to len),28,1.61,vuln_found,
88b9fc7c7645422a89e655adf99fd7e4,C:\Users\marko\PycharmProjects\context\testset\fnc.c,fnc.c,format_string,vuln,fgets bounded but printf(buffer) uses attacker stdin data directly as format string,"{""target_function"": ""vuln"", ""vulnerability_type"": ""format_string"", ""function_args"": [], ""structs"": []}",format_string,vuln,true,Content of format string symbolic user-controlled; Format String confirmed in vuln,stdin=f5f5f5...f500 (512 bytes of 0xf5 then null),13,0.69,vuln_found,
a9993e0d2a5c41eea7ec77477b4cd461,C:\Users\marko\PycharmProjects\context\testset\fvl.c,fvl.c,auto,serve_patrick,"scanf(%s,choice1) unbounded into 32-byte stack buffer (stack overflow) then printf(choice1) uses it as format string","{""target_function"": ""serve_patrick"", ""vulnerability_type"": ""auto"", ""function_args"": [], ""structs"": []}",stack_overflow;heap_overflow;format_string;use_after_free,serve_patrick,true,"Framework confirmed Stack Overflow, Heap Overflow, Format String, and Use After Free all in serve_patrick; symbolic RIP / format-string-content-symbolic states observed",scanf_512B_32=long symbolic hex ending in 7265677275425f747340666b61657242 (ascii tail decodes related to burger strings),62;68,17.11,vuln_found,"Framework flagged 4 vuln classes; heap_overflow/UAF flags are likely spurious given no heap alloc/free in this function, but reported as returned"
6ae35352df1947ddb44ab91025e3b95c,C:\Users\marko\PycharmProjects\context\testset\fvl.c,fvl.c,auto,serve_bob,"scanf(%s,choice2) unbounded into 32-byte stack buffer (stack overflow) then printf(choice2) uses it as format string with no prior length gate","{""target_function"": ""serve_bob"", ""vulnerability_type"": ""auto"", ""function_args"": [], ""structs"": []}",stack_overflow;heap_overflow;format_string;use_after_free,serve_bob,true,"Framework confirmed Stack Overflow, Heap Overflow, Format String, and Use After Free all in serve_bob; symbolic RIP / format-string-content-symbolic states observed",scanf_512B_28/61 long symbolic hex; ascii tail decodes to burger menu strings,92;98,37.52,vuln_found,"Framework flagged 4 vuln classes; heap_overflow/UAF flags likely spurious given no heap alloc/free in this function, reported as returned"
e9d12faae13541d0a43b241724cfe034,C:\Users\marko\PycharmProjects\context\testset\fyg.c,fyg.c,stack_overflow,main,"gets(buffer) on char buffer[64] is inherently unbounded, can overwrite adjacent function pointer fp","{""target_function"": ""main"", ""vulnerability_type"": ""stack_overflow"", ""function_args"": [{""type"": ""variable"", ""name"": ""argc"", ""size"": 4}, {""type"": ""pointer"", ""name"": ""argv"", ""size"": 256}], ""structs"": []}",stack_overflow,main,true,Unconstrained state with symbolic RIP detected via stdin overflow through gets(); Stack Overflow confirmed in main,stdin=zero...ff443e1e5651c5e0...zero (fp overwritten with symbolic pointer value),18,1.28,vuln_found,
49b026f652004d0b992b7c80b0ccdf70,C:\Users\marko\PycharmProjects\context\testset\gxy.c,gxy.c,stack_overflow,main,"scanf(%1024s,buf) on char buf[1024] requires 1025 bytes (1024 chars+NUL), classic off-by-one stack overflow","{""target_function"": ""main"", ""vulnerability_type"": ""stack_overflow"", ""function_args"": [], ""structs"": []}",none,main,false,"Solver error: Incorrect index 9, must be between 0 and 8; message suggests input size too large for mapped stack",n/a,12,0,error,"Solver error in stack_overflow analysis, not a confirmed negative result"
