job_id,file_path,file_name,hypothesis_vuln_type,hypothesis_target_function,hypothesis_explanation,tool_call_json,vulnerability_type,target_function,is_vulnerable,evidence,input_hex,code_line,time,validation_status,remark
618e677635de4375b93b6198cf169302,C:\Users\marko\PycharmProjects\context\testset\jtr.c,jtr.c,stack_overflow,main,"strcpy(buffer,argv[1]) copies unbounded into buffer[64] adjacent to volatile int modified","{""target_function"":""main"",""vulnerability_type"":""stack_overflow"",""function_args"":[{""type"":""concrete"",""value"":2},{""type"":""pointer"",""size"":80}],""structs"":[]}",none,main,false,No Stack Overflow found in 'main'.,n/a,16,2.98,no_vuln_found,Validation found no evidence of exploit
e497a5f3d85e40bda376467f4a44bf68,C:\Users\marko\PycharmProjects\context\testset\kls.c,kls.c,stack_overflow,main,"strcpy(buffer,getenv(GREENIE)) into buffer[64] adjacent to volatile int modified","{""target_function"":""main"",""vulnerability_type"":""stack_overflow"",""function_args"":[{""type"":""concrete"",""value"":1},{""type"":""pointer"",""size"":80}],""structs"":[]}",none,main,false,No Stack Overflow found in 'main'.,n/a,20,2.41,no_vuln_found,Env-var input; no evidence of exploit
51015d65c2474c57a188a82773f21b35,C:\Users\marko\PycharmProjects\context\testset\fyg.c,fyg.c,stack_overflow,main,gets(buffer) unbounded read into buffer[64]; overwrites function pointer fp / return addr,"{""target_function"":""main"",""vulnerability_type"":""stack_overflow"",""function_args"":[{""type"":""concrete"",""value"":1},{""type"":""pointer"",""size"":80}],""structs"":[]}",stack_overflow,main,true,Unconstrained state with symbolic RIP detected via stdin (gets),stdin overflow; RIP-control bytes 62e50ccd92b32411 at offset ~152,18,2.06,vuln_found,Stack Overflow confirmed in 'main'
193bcc71ef8d40e08838354273e7712b,C:\Users\marko\PycharmProjects\context\testset\wuj.c,wuj.c,stack_overflow,main,gets(buffer) unbounded read into buffer[64] overflows saved return address,"{""target_function"":""main"",""vulnerability_type"":""stack_overflow"",""function_args"":[{""type"":""concrete"",""value"":1},{""type"":""pointer"",""size"":96}],""structs"":[]}",stack_overflow,main,true,Unconstrained state with symbolic RIP detected via stdin (gets),stdin overflow; RIP-control bytes 0e8486c01324fb77 at offset ~72,15,2.04,vuln_found,Stack Overflow confirmed in 'main'
e77322b06ed74443a162a117e9f83611,C:\Users\marko\PycharmProjects\context\testset\hbm.c,hbm.c,stack_overflow,main,gets(buffer) unbounded read into buffer[64] overflows saved return address,"{""target_function"":""main"",""vulnerability_type"":""stack_overflow"",""function_args"":[{""type"":""concrete"",""value"":1},{""type"":""pointer"",""size"":96}],""structs"":[]}",stack_overflow,main,true,Unconstrained state with symbolic RIP detected via stdin (gets),stdin overflow; RIP-control bytes 1ec238866316398e at offset ~72,10,2.24,vuln_found,Stack Overflow confirmed in 'main'
049700e0606f4052805e261b233da7b6,C:\Users\marko\PycharmProjects\context\testset\nqa.c,nqa.c,stack_overflow,getpath,gets(buffer) unbounded read into buffer[64] overflows saved return address,"{""target_function"":""getpath"",""vulnerability_type"":""stack_overflow"",""function_args"":[],""structs"":[]}",stack_overflow,getpath,true,Unconstrained state with symbolic RIP detected via stdin (gets),stdin overflow; RIP-control bytes 288440411926c142 at offset ~88,13,3.57,vuln_found,Stack Overflow confirmed in 'getpath'
b6783c63a5814b5291866f8921a60f54,C:\Users\marko\PycharmProjects\context\testset\tso.c,tso.c,stack_overflow,getpath,gets(buffer) unbounded read into buffer[64] overflows saved return address,"{""target_function"":""getpath"",""vulnerability_type"":""stack_overflow"",""function_args"":[],""structs"":[]}",stack_overflow,getpath,true,Unconstrained state with symbolic RIP detected via stdin (gets),stdin overflow with symbolic RIP,13,5.54,vuln_found,Stack Overflow confirmed in 'getpath'
01678f7ed14340e889a8e7b7286de886,C:\Users\marko\PycharmProjects\context\testset\plw.c,plw.c,heap_overflow,main,"strcpy(d->name,argv[1]) into heap struct data name[64]; adjacent struct fp holds function pointer","{""target_function"":""main"",""vulnerability_type"":""heap_overflow"",""function_args"":[{""type"":""concrete"",""value"":2},{""type"":""pointer"",""size"":96}],""structs"":[{""name"":""d"",""location"":""heap"",""size"":64,""fields"":[{""name"":""name"",""size"":64,""is_input"":true}]},{""name"":""f"",""location"":""heap"",""size"":8,""fields"":[{""name"":""fp"",""size"":8,""is_critical"":true}]}]}",heap_overflow,main,true,Unconstrained state with symbolic RIP detected; heap overflow into fp chunk,arg_0=...0000feff... (overflow of d->name into f->fp),36,4.99,vuln_found,Heap Overflow confirmed in 'main'
b133f560dc2749ed958a0a28bdd05ad5,C:\Users\marko\PycharmProjects\context\testset\ebk.c,ebk.c,heap_overflow,main,"strcpy(i1->name,argv[1]) and strcpy(i2->name,argv[2]) into 8-byte malloc(8) heap buffers","{""target_function"":""main"",""vulnerability_type"":""heap_overflow"",""function_args"":[{""type"":""concrete"",""value"":3},{""type"":""pointer"",""size"":48}],""structs"":[{""name"":""i1"",""location"":""heap"",""size"":16,""fields"":[{""name"":""priority"",""size"":4},{""name"":""name"",""size"":8,""is_input"":true}]},{""name"":""i2"",""location"":""heap"",""size"":16,""fields"":[{""name"":""priority"",""size"":4},{""name"":""name"",""size"":8,""is_input"":true}]}]}",heap_overflow,main,true,Heap canary at 0x3000024 became symbolic indicating overflow of malloc(8) buffer,arg_0=...00e0ffffffff00f0ffffffffff...,29,26.21,vuln_found,Heap Overflow confirmed in 'main'
81922db50c0a4a648e2cd0f83e3b9f0a,C:\Users\marko\PycharmProjects\context\testset\idn.c,idn.c,use_after_free,main,free(auth) on reset then login derefs auth->auth; also undersized malloc(sizeof(auth)) with strcpy into auth->name,"{""target_function"":""main"",""vulnerability_type"":""use_after_free"",""function_args"":[{""type"":""concrete"",""value"":1},{""type"":""pointer"",""size"":48}],""structs"":[{""name"":""auth"",""location"":""heap"",""size"":36,""fields"":[{""name"":""name"",""size"":32,""is_input"":true},{""name"":""auth"",""size"":4,""is_critical"":true}]}]}",use_after_free,main,true,Canary at 0x300000c symbolic indicating overflow of undersized auth chunk; UAF path reached via auth/reset commands,stdin=auth 20... then auth-overflow sequence (6175746820...),38,237.28,vuln_found,Use After Free confirmed in 'main'
