file_name,original,Vulnerability,is_vulnerable,code_line,exp_target_function,function_head,exp_args,exp_structs,remark
qxz.c,protostar/stack_zero.c,stack_overflow,true,11,main,"int main(int argc, char **argv)","[{""type"":""concrete"",""value"":1},{""type"":""pointer"",""size"":8}]",[],args irrelevant
mvo.c,,safe,false,,main,"int main(int argc, char **argv)","[{""type"":""concrete"",""value"":1},{""type"":""pointer"",""size"":8}]",[],Save variant of qxz.c (protostar/stack_zero.c)
jtr.c,protostar/stack_one.c,stack_overflow,true,16,main,"int main(int argc, char **argv)","[{""type"":""concrete"",""value"":2},{""type"":""pointer"",""size"":96}]",[],argv[1] used
bwp.c,,safe,false,,main,"int main(int argc, char **argv)","[{""type"":""concrete"",""value"":2},{""type"":""pointer"",""size"":96}]",[],Save variant of jtr.c (protostar/stack_one.c)
kls.c,protostar/stack_two.c,stack_overflow,true,20,main,"int main(int argc, char **argv)","[{""type"":""concrete"",""value"":1},{""type"":""pointer"",""size"":8}]",[],args irrelevant
dnh.c,,safe,false,,main,"int main(int argc, char **argv)","[{""type"":""concrete"",""value"":1},{""type"":""pointer"",""size"":8}]",[],Save variant of kls.c (protostar/stack_two.c)
fyg.c,protostar/stack_three.c,stack_overflow,true,18,main,"int main(int argc, char **argv)","[{""type"":""concrete"",""value"":1},{""type"":""pointer"",""size"":8}]",[],args irrelevant
rpe.c,,safe,false,,main,"int main(int argc, char **argv)","[{""type"":""concrete"",""value"":1},{""type"":""pointer"",""size"":8}]",[],Save variant of fyg.c (protostar/stack_three.c)
wuj.c,protostar/stack_four.c,stack_overflow,true,15,main,"int main(int argc, char **argv)","[{""type"":""concrete"",""value"":1},{""type"":""pointer"",""size"":8}]",[],args irrelevant
zic.c,,safe,false,,main,"int main(int argc, char **argv)","[{""type"":""concrete"",""value"":1},{""type"":""pointer"",""size"":8}]",[],Save variant of wuj.c (protostar/stack_four.c)
hbm.c,protostar/stack_five.c,stack_overflow,true,10,main,"int main(int argc, char **argv)","[{""type"":""concrete"",""value"":1},{""type"":""pointer"",""size"":8}]",[],args irrelevant
vkd.c,,safe,false,,main,"int main(int argc, char **argv)","[{""type"":""concrete"",""value"":1},{""type"":""pointer"",""size"":8}]",[],Save variant of hbm.c (protostar/stack_five.c)
nqa.c,protostar/stack_six.c,stack_overflow,true,13,getpath,void getpath(),[],[],
xfl.c,,safe,false,,getpath,void getpath(),[],[],Save variant of nqa.c (protostar/stack_six.c)
tso.c,protostar/stack_seven.c,stack_overflow,true,13,,,,,
gry.c,,safe,false,,,,,,Save variant of tso.c (protostar/stack_seven.c)
plw.c,protostar/heap_zero.c,heap_overflow,true,36,,,,,
cmz.c,,safe,false,,,,,,Save variant of plw.c (protostar/heap_zero.c)
ebk.c,protostar/heap_one.c,heap_overflow,true,29,,,,,
uhj.c,,safe,false,,,,,,Save variant of ebk.c (protostar/heap_one.c)
idn.c,protostar/heap_two.c,use_after_free,true,38,,,,,
arf.c,,safe,false,,,,,,Save variant of idn.c (protostar/heap_two.c)
ovm.c,protostar/heap_three.c,heap_overflow,true,20,,,,,
lqt.c,,safe,false,,,,,,Save variant of ovm.c (protostar/heap_three.c)
swp.c,protostar/format_zero.c,format_string,true,13,,,,,
kxe.c,,safe,false,,,,,,Save variant of swp.c (protostar/format_zero.c)
dzb.c,protostar/format_one.c,format_string,true,10,,,,,
jmy.c,,safe,false,,,,,,Save variant of dzb.c (protostar/format_one.c)
fnc.c,protostar/format_two.c,format_string,true,13,,,,,
