job_id,file_path,file_name,hypothesis_vuln_type,hypothesis_target_function,hypothesis_explanation,tool_call_json,vulnerability_type,target_function,is_vulnerable,evidence,input_hex,code_line,time,validation_status,remark
00b4bdc62e524ef293847daaf9f62477,C:\Users\marko\PycharmProjects\context\testset\jtr.c,jtr.c,stack_overflow,main,"strcpy(buffer,argv[1]) into buffer[64] with adjacent modified var","{""target_path"":""jtr.c"",""target_function"":""main"",""vulnerability_type"":""stack_overflow"",""function_args"":[{""type"":""concrete"",""value"":2},{""type"":""pointer"",""size"":96}],""structs"":[]}",stack_overflow,main,true,Unconstrained state with symbolic RIP; strcpy overflow of buffer[64],arg_0=00000000000000000000000000ffffff...,16,4.2,vuln_found,Stack Overflow confirmed
eba0c85507a0452891cf8164b7e480c8,C:\Users\marko\PycharmProjects\context\testset\kls.c,kls.c,stack_overflow,main,"strcpy(buffer,getenv(GREENIE)) into buffer[64] with adjacent modified","{""target_path"":""kls.c"",""target_function"":""main"",""vulnerability_type"":""stack_overflow"",""function_args"":[{""type"":""concrete"",""value"":1},{""type"":""pointer"",""size"":16}],""structs"":[]}",none,main,false,Validator found no stack overflow (env-var input not modeled symbolically),n/a,20,1.42,no_vuln_found,No vulnerability found
1557eff9040448cba7a4e80a3fa81f17,C:\Users\marko\PycharmProjects\context\testset\fyg.c,fyg.c,stack_overflow,main,gets(buffer) into buffer[64] with adjacent function pointer fp,"{""target_path"":""fyg.c"",""target_function"":""main"",""vulnerability_type"":""stack_overflow"",""function_args"":[{""type"":""concrete"",""value"":1},{""type"":""pointer"",""size"":16}],""structs"":[]}",stack_overflow,main,true,Unconstrained state with symbolic RIP via gets() on stdin,stdin=...618b843b9b3396a0...,18,1.14,vuln_found,Stack Overflow confirmed
76cdf058159c4074a7075f8c46992add,C:\Users\marko\PycharmProjects\context\testset\wuj.c,wuj.c,stack_overflow,main,gets(buffer) into buffer[64] overwrites return address,"{""target_path"":""wuj.c"",""target_function"":""main"",""vulnerability_type"":""stack_overflow"",""function_args"":[{""type"":""concrete"",""value"":1},{""type"":""pointer"",""size"":16}],""structs"":[]}",stack_overflow,main,true,Unconstrained state with symbolic RIP via gets() on stdin,stdin=...a60040f333525b09...,15,1.11,vuln_found,Stack Overflow confirmed
22c8347bb6bc4ab6b0f675072fd632cd,C:\Users\marko\PycharmProjects\context\testset\hbm.c,hbm.c,stack_overflow,main,gets(buffer) into buffer[64] overwrites return address,"{""target_path"":""hbm.c"",""target_function"":""main"",""vulnerability_type"":""stack_overflow"",""function_args"":[{""type"":""concrete"",""value"":1},{""type"":""pointer"",""size"":16}],""structs"":[]}",stack_overflow,main,true,Unconstrained state with symbolic RIP via gets() on stdin,stdin=...7f80410209014180...,10,1.1,vuln_found,Stack Overflow confirmed
9fdd57b7660c41a892ef69af5d372b50,C:\Users\marko\PycharmProjects\context\testset\nqa.c,nqa.c,stack_overflow,getpath,gets(buffer) into buffer[64] overwrites return address,"{""target_path"":""nqa.c"",""target_function"":""getpath"",""vulnerability_type"":""stack_overflow"",""function_args"":[],""structs"":[]}",stack_overflow,getpath,true,Unconstrained state with symbolic RIP via gets() on stdin,stdin=...469d95cd11491b1a...,13,1.75,vuln_found,Stack Overflow confirmed
b72497058d6f4eaaa1ff16607d771fc8,C:\Users\marko\PycharmProjects\context\testset\tso.c,tso.c,stack_overflow,getpath,gets(buffer) into buffer[64] overwrites return address,"{""target_path"":""tso.c"",""target_function"":""getpath"",""vulnerability_type"":""stack_overflow"",""function_args"":[],""structs"":[]}",stack_overflow,getpath,true,Unconstrained state with symbolic RIP via gets() on stdin,stdin=00008500002010084002...,13,2.53,vuln_found,Stack Overflow confirmed
2d8db8a7837b44118efdb38c39fa92e9,C:\Users\marko\PycharmProjects\context\testset\plw.c,plw.c,heap_overflow,main,"strcpy(d->name,argv[1]) into heap d->name[64]; adjacent heap fp chunk","{""target_path"":""plw.c"",""target_function"":""main"",""vulnerability_type"":""heap_overflow"",""function_args"":[{""type"":""concrete"",""value"":2},{""type"":""pointer"",""size"":96}],""structs"":[{""name"":""d"",""location"":""heap"",""size"":64,""fields"":[{""name"":""name"",""size"":64,""is_input"":true}]},{""name"":""f"",""location"":""heap"",""size"":8,""fields"":[{""name"":""fp"",""size"":8,""is_critical"":true}]}]}",heap_overflow,main,true,Unconstrained state with symbolic RIP; heap overflow of d->name[64] into fp chunk,arg_0=0000000000000000fdffffffffffffff...,36,5.21,vuln_found,Heap Overflow confirmed
ddc7d9b8d4a24c7ead78c19d33b0e4de,C:\Users\marko\PycharmProjects\context\testset\ebk.c,ebk.c,heap_overflow,main,"strcpy(i1->name,argv[1]) into malloc(8) heap buffer unbounded","{""target_path"":""ebk.c"",""target_function"":""main"",""vulnerability_type"":""heap_overflow"",""function_args"":[{""type"":""concrete"",""value"":3},{""type"":""pointer"",""size"":40}],""structs"":[{""name"":""i1"",""location"":""heap"",""size"":16,""fields"":[{""name"":""priority"",""size"":4},{""name"":""name"",""size"":8,""is_input"":true}]}]}",heap_overflow,main,true,Canary at 0x3000024 symbolic indicates overflow of 8-byte heap chunk via argv[1],arg_0=000000000000000000000000000080ffe0ffffffffffffff,29,26.18,vuln_found,Heap Overflow confirmed
d0d58d3d64ba433593528d7261aa9c1d,C:\Users\marko\PycharmProjects\context\testset\idn.c,idn.c,use_after_free,main,free(auth) on reset then login derefs auth->auth; malloc(sizeof(auth)) undersized,"{""target_path"":""idn.c"",""target_function"":""main"",""vulnerability_type"":""use_after_free"",""function_args"":[{""type"":""concrete"",""value"":1},{""type"":""pointer"",""size"":16}],""structs"":[{""name"":""auth"",""location"":""heap"",""size"":36,""fields"":[{""name"":""name"",""size"":32,""is_input"":true},{""name"":""auth"",""size"":4,""is_critical"":true}]}]}",use_after_free,main,true,Canary at 0x300000c symbolic; freed auth chunk reused / dereferenced via stdin commands,stdin=0101010101000000...,32,22.58,vuln_found,Use After Free confirmed
